Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Total Budgeted Financing ($'000),2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000)
BIF ,"250,752","61,800","61,518","62,997","64,437"
Construction,"1,149,622","657,182","377,094","89,054","26,292"
Design,"6,865","5,156","1,709",0,0
Early Planning,"20,869","12,419","7,450","1,000",0
Grant,"18,067","17,967",100,0,0
ICT,"145,384","95,285","24,313","14,169","11,617"
Plant & Equipment ,"114,870","37,117","31,087","28,492","18,174"
Public Private Partnership,720,720,0,0,0
