Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),2021-22 Budgeted Financing ($'000),Total Budgeted Financing ($'000)
BIF ,"57,419","74,997","64,437","60,166","257,019"
Construction,"500,878","415,759","81,130","22,019","1,019,786"
Design,"3,442",696,0,0,"4,138"
Early Planning,"41,810","2,000",125,0,"43,935"
Grant,"9,345","2,435","7,700",0,"19,480"
ICT,"65,011","57,063","13,083","8,215","143,372"
Plant & Equipment ,"68,501","52,222","20,506","5,577","146,806"
Public Private Partnership,0,0,0,0,0
